employee_id,gender,hub,pickup_hub,uses_company_transport,transport_shift,transport_eligibility,extension_category,shift_logout,predicted_extension_minutes,safety_priority_score,requires_security_escort,home_distance_km,home_lat,home_lon
1,Female,Hopes,Hopes,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 18:30:00,0,4.0,False,7.38,11.007393,77.02274
3,Female,Ganapathy,Ganapathy,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 21:30:00,0,4.0,False,3.87,11.0367,76.984871
4,Female,Saravanampatti,Saravanampatti,True,04:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 04:30:00,0,7.0,True,14.11,11.132525,77.008819
5,Male,Hopes,Hopes,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 18:30:00,0,1.0,False,10.44,11.031401,77.050282
6,Male,Thudiyalur,Thudiyalur,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 21:30:00,0,1.0,False,11.74,11.12219,76.962961
7,Male,Singanallur,Singanallur,True,03:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 03:30:00,0,4.0,False,4.39,11.017155,76.99606
8,Male,Thudiyalur,Thudiyalur,True,04:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 04:30:00,0,4.0,False,2.76,10.992016,76.954989
9,Female,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 18:30:00,0,4.0,False,11.6,11.112501,76.998207
12,Male,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 18:30:00,0,1.0,False,8.82,11.094659,76.971085
14,Male,Singanallur,Singanallur,True,04:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 04:30:00,0,4.0,False,4.0,10.994457,76.984553
15,Female,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 00:30:00,0,7.0,True,7.56,11.084523,76.962051
16,Male,Singanallur,Singanallur,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 21:30:00,0,1.0,False,7.67,11.012723,77.025953
17,Male,Saravanampatti,Saravanampatti,True,03:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 03:30:00,0,4.0,False,6.96,11.066318,76.994836
18,Male,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 00:30:00,0,4.0,False,8.54,11.070594,77.011712
19,Male,Saravanampatti,Saravanampatti,True,04:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 04:30:00,0,4.0,False,9.33,11.088912,76.999485
21,Male,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 21:30:00,0,1.0,False,9.48,11.069111,77.024361
22,Female,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 18:30:00,0,4.0,False,2.24,11.008212,76.97441
23,Female,Thudiyalur,Thudiyalur,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 21:30:00,0,4.0,False,6.89,11.078637,76.95252
24,Male,Saravanampatti,Saravanampatti,True,03:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 03:30:00,0,4.0,False,8.03,11.083665,76.983598
25,Female,Thudiyalur,Thudiyalur,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 18:30:00,0,4.0,False,10.17,11.107251,76.969896
26,Female,Ganapathy,Ganapathy,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 21:30:00,0,4.0,False,8.57,11.016192,77.034341
27,Male,Singanallur,Singanallur,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 00:30:00,0,4.0,False,14.53,10.982588,77.084318
28,Female,Ganapathy,Ganapathy,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 21:30:00,0,4.0,False,8.09,11.086568,76.976981
